match,stroke,event,stroke_type,merged_type,start_frame,end_frame,dataset,class_id
2,149,260,HFL,HFL,47340,47360,Train,0
2,154,269,HFL,HFL,48171,48198,Train,0
2,158,275,HFL,HFL,49139,49159,Train,0
2,161,280,HFL,HFL,49891,49913,Train,0
2,170,297,HFL,HFL,52641,52673,Train,0
2,179,313,HFL,HFL,54166,54189,Train,0
2,183,321,HFL,HFL,54272,54292,Train,0
2,188,328,HFL,HFL,55268,55283,Train,0
2,194,339,HFL,HFL,56049,56089,Train,0
2,196,343,HFL,HFL,56125,56158,Train,0
2,208,364,HFL,HFL,58937,58953,Train,0
2,210,368,HFL,HFL,58986,59016,Train,0
2,219,383,HFL,HFL,60969,60997,Train,0
2,223,390,HFL,HFL,62034,62074,Train,0
2,231,403,HFL,HFL,66264,66292,Train,0
2,237,413,HFL,HFL,67117,67156,Train,0
2,240,418,HFL,HFL,67944,67985,Train,0
2,243,423,HFL,HFL,68335,68369,Train,0
2,245,427,HFL,HFL,68400,68418,Train,0
2,260,452,HFL,HFL,72721,72754,Train,0
2,264,460,HFL,HFL,72876,72906,Train,0
2,268,467,HFL,HFL,73710,73765,Train,0
2,280,487,HFL,HFL,77646,77669,Train,0
2,282,491,HFL,HFL,77713,77740,Train,0
2,284,495,HFL,HFL,77777,77808,Train,0
2,287,500,HFL,HFL,78464,78488,Train,0
2,300,522,HFL,HFL,83241,83258,Train,0
2,310,539,HFL,HFL,85110,85137,Train,0
2,321,559,HFL,HFL,86530,86555,Train,0
2,323,563,HFL,HFL,86586,86614,Train,0
2,328,572,HFL,HFL,87347,87374,Train,0
2,330,576,HFL,HFL,87406,87432,Train,0
2,332,580,HFL,HFL,87475,87493,Train,0
2,334,584,HFL,HFL,87528,87563,Train,0
2,339,593,HFL,HFL,88338,88360,Train,0
2,344,602,HFL,HFL,89595,89627,Train,0
2,346,606,HFL,HFL,89664,89692,Train,0
2,351,614,HFL,HFL,90978,91001,Train,0
2,354,619,HFL,HFL,91730,91761,Train,0
2,356,623,HFL,HFL,91796,91833,Train,0
2,363,636,HFL,HFL,95250,95276,Train,0
2,367,643,HFL,HFL,95947,95991,Train,0
2,373,653,HFL,HFL,97461,97487,Train,0
2,381,667,HFL,HFL,99308,99335,Train,0
2,387,677,HFL,HFL,100771,100801,Train,0
2,401,703,HFL,HFL,103125,103152,Val,0
2,405,711,HFL,HFL,103257,103284,Val,0
2,407,715,HFL,HFL,103319,103342,Val,0
2,412,724,HFL,HFL,104169,104195,Val,0
2,414,728,HFL,HFL,104226,104257,Val,0
2,416,732,HFL,HFL,104291,104328,Val,0
2,421,741,HFL,HFL,105231,105250,Val,0
2,424,746,HFL,HFL,108077,108100,Test,0
2,426,749,HFL,HFL,108591,108619,Test,0
2,431,757,HFL,HFL,109727,109755,Test,0
2,439,772,HFL,HFL,110694,110728,Test,0
2,444,781,HFL,HFL,111689,111712,Test,0
2,446,785,HFL,HFL,111744,111772,Test,0
2,448,788,HFL,HFL,112672,112696,Test,0
2,452,796,HFL,HFL,112798,112823,Test,0
2,456,804,HFL,HFL,112928,112965,Test,0
2,459,809,HFL,HFL,114256,114280,Test,0
2,463,817,HFL,HFL,114380,114411,Test,0
2,465,820,HFL,HFL,115314,115342,Test,0
2,467,824,HFL,HFL,115386,115420,Test,0
2,479,845,HFL,HFL,117790,117824,Test,0
2,483,852,HFL,HFL,118671,118691,Test,0
2,488,861,HFL,HFL,119468,119497,Test,0
2,490,865,HFL,HFL,119528,119543,Test,0
2,494,872,HFL,HFL,120570,120592,Test,0
2,496,876,HFL,HFL,120630,120676,Test,0
2,501,884,HFL,HFL,123771,123804,Test,0
2,503,888,HFL,HFL,123863,123900,Test,0
2,505,892,HFL,HFL,123950,124033,Test,0
2,509,899,HFL,HFL,124781,124821,Test,0
2,514,908,HFL,HFL,125382,125413,Test,0
2,520,919,HFL,HFL,126187,126220,Test,0
2,522,923,HFL,HFL,126268,126299,Test,0
2,526,930,HFL,HFL,127173,127190,Test,0
2,528,933,HFL,HFL,127746,127765,Test,0
2,531,938,HFL,HFL,128248,128268,Test,0
2,533,942,HFL,HFL,128307,128336,Test,0
2,535,946,HFL,HFL,128371,128399,Test,0
2,542,959,HFL,HFL,130233,130263,Test,0
2,546,967,HFL,HFL,130356,130377,Test,0
2,548,970,HFL,HFL,132850,132875,Test,0
2,550,974,HFL,HFL,132915,132937,Test,0
3,8,14,HFL,HFL,2765,2786,Train,0
3,13,23,HFL,HFL,3475,3508,Train,0
3,18,31,HFL,HFL,4666,4687,Train,0
3,22,38,HFL,HFL,5913,5945,Train,0
3,24,42,HFL,HFL,5999,6027,Train,0
3,31,55,HFL,HFL,7346,7379,Train,0
3,36,64,HFL,HFL,9150,9180,Train,0
3,43,77,HFL,HFL,11197,11221,Train,0
3,52,94,HFL,HFL,12398,12427,Train,0
3,56,101,HFL,HFL,13056,13081,Train,0
3,68,122,HFL,HFL,15217,15256,Train,0
3,72,129,HFL,HFL,18406,18441,Train,0
3,82,147,HFL,HFL,19664,19694,Train,0
3,84,151,HFL,HFL,19728,19758,Train,0
3,95,170,HFL,HFL,22867,22889,Train,0
3,97,174,HFL,HFL,22921,22961,Train,0
3,99,177,HFL,HFL,23511,23533,Train,0
3,112,200,HFL,HFL,26488,26512,Train,0
3,117,208,HFL,HFL,30036,30059,Train,0
3,126,224,HFL,HFL,33207,33239,Train,0
3,130,231,HFL,HFL,33836,33865,Train,0
3,141,251,HFL,HFL,35527,35555,Train,0
3,151,269,HFL,HFL,37170,37206,Train,0
3,170,302,HFL,HFL,44328,44362,Train,0
3,193,343,HFL,HFL,47999,48027,Train,0
3,197,350,HFL,HFL,48939,48967,Train,0
3,205,364,HFL,HFL,52198,52228,Val,0
3,212,377,HFL,HFL,53179,53207,Val,0
3,216,384,HFL,HFL,54076,54105,Val,0
3,227,404,HFL,HFL,56590,56621,Val,0
3,230,409,HFL,HFL,57343,57371,Val,0
3,232,413,HFL,HFL,57409,57435,Val,0
3,236,420,HFL,HFL,59038,59060,Test,0
3,239,425,HFL,HFL,59942,59970,Test,0
3,255,453,HFL,HFL,65872,65893,Test,0
3,257,456,HFL,HFL,66176,66197,Test,0
3,262,465,HFL,HFL,67260,67294,Test,0
3,272,483,HFL,HFL,69054,69071,Test,0
3,276,491,HFL,HFL,69177,69210,Test,0
3,283,504,HFL,HFL,70217,70249,Test,0
3,291,518,HFL,HFL,72055,72093,Test,0
3,300,533,HFL,HFL,76591,76618,Test,0
3,306,545,HFL,HFL,76797,76832,Test,0
3,308,549,HFL,HFL,76875,76906,Test,0
3,313,558,HFL,HFL,77679,77713,Test,0
4,6,10,HFL,HFL,6606,6649,Train,0
4,8,14,HFL,HFL,6686,6717,Train,0
4,10,18,HFL,HFL,6747,6777,Train,0
4,12,22,HFL,HFL,6809,6845,Train,0
4,22,42,HFL,HFL,7148,7188,Train,0
4,26,50,HFL,HFL,7283,7317,Train,0
4,32,61,HFL,HFL,8529,8559,Train,0
4,50,95,HFL,HFL,10604,10643,Train,0
4,58,109,HFL,HFL,13043,13070,Train,0
4,65,121,HFL,HFL,15318,15337,Train,0
4,67,125,HFL,HFL,15375,15416,Train,0
4,69,129,HFL,HFL,15464,15490,Train,0
4,71,133,HFL,HFL,15503,15525,Train,0
4,73,136,HFL,HFL,16396,16415,Train,0
4,86,157,HFL,HFL,19078,19108,Train,0
4,99,180,HFL,HFL,24737,24767,Train,0
4,101,183,HFL,HFL,25332,25352,Train,0
4,111,203,HFL,HFL,25664,25694,Train,0
4,124,227,HFL,HFL,27550,27571,Train,0
4,130,238,HFL,HFL,28412,28449,Train,0
4,134,246,HFL,HFL,28560,28593,Train,0
4,140,257,HFL,HFL,29837,29878,Train,0
4,148,271,HFL,HFL,31724,31764,Train,0
4,154,282,HFL,HFL,32576,32591,Train,0
4,156,286,HFL,HFL,32628,32639,Train,0
4,164,300,HFL,HFL,36253,36291,Train,0
4,166,304,HFL,HFL,36323,36351,Train,0
4,169,309,HFL,HFL,36831,36864,Train,0
4,174,317,HFL,HFL,37915,37959,Train,0
4,186,338,HFL,HFL,39586,39612,Train,0
4,188,342,HFL,HFL,39657,39691,Train,0
4,191,347,HFL,HFL,41193,41218,Train,0
4,193,351,HFL,HFL,41255,41280,Train,0
4,195,355,HFL,HFL,41314,41343,Train,0
4,197,359,HFL,HFL,41373,41407,Train,0
4,199,363,HFL,HFL,41444,41481,Train,0
4,201,367,HFL,HFL,41518,41546,Train,0
4,203,371,HFL,HFL,41580,41608,Train,0
4,209,383,HFL,HFL,41792,41828,Train,0
4,213,391,HFL,HFL,41917,41946,Train,0
4,216,396,HFL,HFL,43112,43132,Train,0
4,220,404,HFL,HFL,43230,43261,Train,0
4,224,412,HFL,HFL,43361,43395,Train,0
4,238,436,HFL,HFL,49926,49948,Train,0
4,244,448,HFL,HFL,50123,50135,Train,0
4,248,455,HFL,HFL,51107,51122,Train,0
4,252,462,HFL,HFL,51936,51955,Train,0
4,258,474,HFL,HFL,52112,52154,Train,0
4,265,487,HFL,HFL,53566,53594,Train,0
4,269,495,HFL,HFL,53702,53744,Train,0
4,271,499,HFL,HFL,53780,53814,Train,0
4,275,507,HFL,HFL,53922,53964,Train,0
4,277,510,HFL,HFL,54678,54709,Train,0
4,287,528,HFL,HFL,56918,56955,Train,0
4,289,532,HFL,HFL,56990,57028,Train,0
4,293,540,HFL,HFL,57140,57172,Train,0
4,295,544,HFL,HFL,57215,57246,Train,0
4,297,548,HFL,HFL,57281,57307,Train,0
4,304,560,HFL,HFL,58912,58943,Train,0
4,308,567,HFL,HFL,59592,59622,Train,0
4,311,572,HFL,HFL,62737,62774,Train,0
4,319,587,HFL,HFL,63456,63483,Train,0
4,327,602,HFL,HFL,64592,64619,Train,0
4,329,606,HFL,HFL,64652,64686,Train,0
4,336,619,HFL,HFL,66121,66149,Train,0
4,338,623,HFL,HFL,66187,66224,Train,0
4,340,627,HFL,HFL,66253,66283,Train,0
4,350,646,HFL,HFL,67242,67277,Train,0
4,363,670,HFL,HFL,70002,70028,Train,0
4,369,681,HFL,HFL,70838,70883,Train,0
4,394,725,HFL,HFL,75327,75362,Train,0
4,397,730,HFL,HFL,76146,76183,Train,0
4,399,734,HFL,HFL,76213,76251,Train,0
4,407,747,HFL,HFL,78639,78674,Train,0
4,413,759,HFL,HFL,78857,78885,Train,0
4,435,800,HFL,HFL,81202,81234,Train,0
4,446,821,HFL,HFL,82889,82920,Train,0
4,454,836,HFL,HFL,84109,84149,Train,0
4,465,855,HFL,HFL,88662,88681,Train,0
4,474,870,HFL,HFL,91060,91090,Train,0
4,481,883,HFL,HFL,91710,91736,Train,0
4,485,891,HFL,HFL,91838,91870,Train,0
4,492,903,HFL,HFL,93754,93786,Train,0
4,500,918,HFL,HFL,94362,94389,Train,0
4,505,927,HFL,HFL,95680,95722,Train,0
4,508,932,HFL,HFL,96320,96348,Train,0
4,516,947,HFL,HFL,97616,97643,Train,0
4,518,951,HFL,HFL,97667,97681,Train,0
4,525,963,HFL,HFL,98920,98954,Train,0
4,528,968,HFL,HFL,99798,99831,Train,0
4,541,990,HFL,HFL,105041,105077,Train,0
4,547,1000,HFL,HFL,106287,106323,Train,0
4,549,1004,HFL,HFL,106351,106373,Train,0
4,552,1009,HFL,HFL,107115,107153,Train,0
4,554,1013,HFL,HFL,107188,107217,Train,0
4,558,1021,HFL,HFL,107319,107347,Train,0
4,565,1033,HFL,HFL,108701,108740,Train,0
4,568,1038,HFL,HFL,110139,110178,Train,0
4,573,1047,HFL,HFL,111028,111059,Train,0
4,575,1051,HFL,HFL,111087,111116,Train,0
4,579,1059,HFL,HFL,111230,111263,Train,0
4,590,1078,HFL,HFL,113674,113688,Train,0
4,592,1081,HFL,HFL,113999,114025,Train,0
4,600,1095,HFL,HFL,115086,115107,Train,0
4,606,1104,HFL,HFL,119158,119178,Train,0
4,610,1112,HFL,HFL,119288,119317,Train,0
4,612,1116,HFL,HFL,119347,119370,Train,0
4,614,1120,HFL,HFL,119406,119442,Train,0
4,616,1124,HFL,HFL,119482,119518,Train,0
4,620,1131,HFL,HFL,120957,120980,Train,0
4,628,1144,HFL,HFL,122959,122987,Train,0
4,634,1154,HFL,HFL,123549,123582,Train,0
4,637,1159,HFL,HFL,124162,124210,Train,0
4,639,1163,HFL,HFL,124241,124322,Train,0
4,641,1167,HFL,HFL,124353,124380,Train,0
4,643,1171,HFL,HFL,124425,124447,Train,0
4,646,1176,HFL,HFL,125145,125179,Train,0
4,650,1183,HFL,HFL,126029,126057,Train,0
4,653,1188,HFL,HFL,126697,126736,Train,0
4,661,1202,HFL,HFL,128137,128164,Train,0
4,663,1206,HFL,HFL,128198,128229,Train,0
4,670,1218,HFL,HFL,132581,132634,Train,0
4,690,1252,HFL,HFL,137156,137176,Train,0
4,700,1268,HFL,HFL,141436,141456,Train,0
4,712,1289,HFL,HFL,143165,143202,Train,0
4,724,1310,HFL,HFL,146669,146691,Train,0
4,728,1317,HFL,HFL,147777,147804,Train,0
4,734,1328,HFL,HFL,148688,148727,Train,0
4,736,1332,HFL,HFL,148761,148792,Train,0
4,750,1360,HFL,HFL,149236,149266,Train,0
4,752,1364,HFL,HFL,149301,149333,Train,0
4,756,1371,HFL,HFL,150517,150546,Train,0
4,760,1379,HFL,HFL,150633,150662,Train,0
4,774,1404,HFL,HFL,154984,155009,Train,0
4,784,1422,HFL,HFL,156305,156334,Train,0
4,790,1434,HFL,HFL,156502,156531,Train,0
4,794,1442,HFL,HFL,156633,156676,Train,0
4,802,1457,HFL,HFL,158269,158297,Train,0
4,804,1461,HFL,HFL,158324,158352,Train,0
4,806,1465,HFL,HFL,158380,158412,Train,0
4,808,1469,HFL,HFL,158445,158470,Train,0
4,813,1478,HFL,HFL,159652,159698,Train,0
4,817,1486,HFL,HFL,159791,159819,Train,0
4,821,1493,HFL,HFL,164507,164529,Train,0
4,826,1501,HFL,HFL,165343,165372,Train,0
4,838,1522,HFL,HFL,167330,167359,Train,0
4,844,1533,HFL,HFL,168767,168800,Train,0
4,846,1536,HFL,HFL,169335,169352,Train,0
4,848,1539,HFL,HFL,169789,169812,Train,0
4,850,1543,HFL,HFL,169842,169880,Train,0
4,855,1552,HFL,HFL,170649,170680,Train,0
4,867,1574,HFL,HFL,172353,172376,Train,0
4,875,1588,HFL,HFL,174314,174338,Train,0
4,883,1602,HFL,HFL,176700,176734,Train,0
4,885,1606,HFL,HFL,176767,176805,Train,0
4,887,1610,HFL,HFL,176842,176872,Train,0
4,891,1618,HFL,HFL,176979,177006,Train,0
4,893,1622,HFL,HFL,177038,177064,Train,0
4,899,1633,HFL,HFL,178312,178345,Train,0
4,901,1637,HFL,HFL,178380,178399,Train,0
4,912,1655,HFL,HFL,180945,180989,Train,0
4,916,1662,HFL,HFL,181656,181692,Train,0
4,922,1674,HFL,HFL,181850,181891,Train,0
4,924,1678,HFL,HFL,181920,181942,Train,0
4,933,1693,HFL,HFL,183864,183891,Train,0
4,941,1708,HFL,HFL,186927,186954,Train,0
4,943,1712,HFL,HFL,187015,187048,Train,0
4,950,1724,HFL,HFL,188419,188442,Train,0
4,952,1728,HFL,HFL,188469,188497,Train,0
4,956,1735,HFL,HFL,188934,188962,Train,0
4,961,1743,HFL,HFL,189690,189751,Train,0
4,966,1752,HFL,HFL,191048,191081,Train,0
4,968,1756,HFL,HFL,191110,191136,Train,0
4,980,1777,HFL,HFL,194099,194127,Train,0
4,985,1786,HFL,HFL,194862,194906,Train,0
4,991,1796,HFL,HFL,197898,197932,Train,0
4,993,1800,HFL,HFL,197959,197988,Train,0
4,995,1804,HFL,HFL,198032,198074,Train,0
4,1003,1818,HFL,HFL,199772,199789,Train,0
4,1006,1823,HFL,HFL,199998,200013,Train,0
4,1008,1826,HFL,HFL,200573,200584,Train,0
4,1021,1848,HFL,HFL,203634,203696,Train,0
4,1023,1852,HFL,HFL,203733,203764,Train,0
4,1039,1880,HFL,HFL,207226,207262,Train,0
4,1041,1884,HFL,HFL,207293,207327,Train,0
4,1043,1888,HFL,HFL,207355,207385,Train,0
4,1050,1900,HFL,HFL,208593,208625,Train,0
4,1052,1904,HFL,HFL,208671,208707,Train,0
4,1054,1908,HFL,HFL,208732,208763,Train,0
4,1056,1912,HFL,HFL,208794,208830,Train,0
4,1060,1919,HFL,HFL,209872,209929,Train,0
4,1062,1923,HFL,HFL,209964,210005,Train,0
4,1067,1931,HFL,HFL,211451,211496,Train,0
4,1069,1935,HFL,HFL,211531,211566,Train,0
4,1073,1943,HFL,HFL,211678,211709,Train,0
4,1076,1948,HFL,HFL,212704,212750,Train,0
4,1078,1952,HFL,HFL,212786,212825,Train,0
4,1080,1956,HFL,HFL,212853,212881,Train,0
4,1082,1960,HFL,HFL,212926,212961,Train,0
4,1088,1972,HFL,HFL,213136,213166,Train,0
4,1103,1998,HFL,HFL,218729,218760,Train,0
4,1109,2008,HFL,HFL,219880,219926,Train,0
4,1120,2027,HFL,HFL,222244,222277,Train,0
4,1124,2034,HFL,HFL,223304,223332,Train,0
4,1134,2053,HFL,HFL,224634,224664,Train,0
4,1139,2062,HFL,HFL,225725,225767,Train,0
4,1142,2067,HFL,HFL,226764,226784,Train,0
4,1153,2087,HFL,HFL,229030,229071,Train,0
4,1159,2097,HFL,HFL,233151,233174,Train,0
4,1166,2108,HFL,HFL,234257,234277,Train,0
4,1170,2115,HFL,HFL,235939,235975,Train,0
4,1185,2140,HFL,HFL,239351,239384,Train,0
4,1188,2145,HFL,HFL,240125,240161,Train,0
4,1190,2149,HFL,HFL,240208,240235,Train,0
4,1192,2153,HFL,HFL,240264,240297,Train,0
4,1204,2175,HFL,HFL,244012,244044,Train,0
4,1220,2203,HFL,HFL,247766,247784,Train,0
4,1224,2210,HFL,HFL,248123,248152,Train,0
4,1226,2214,HFL,HFL,248184,248221,Train,0
4,1228,2218,HFL,HFL,248265,248297,Train,0
4,1240,2238,HFL,HFL,253373,253406,Train,0
4,1246,2249,HFL,HFL,254229,254255,Train,0
4,1263,2280,HFL,HFL,257081,257112,Train,0
4,1270,2293,HFL,HFL,258409,258439,Train,0
4,1272,2297,HFL,HFL,258467,258491,Train,0
4,1288,2325,HFL,HFL,262048,262079,Train,0
4,1290,2329,HFL,HFL,262112,262141,Train,0
4,1296,2341,HFL,HFL,262270,262302,Train,0
4,1302,2352,HFL,HFL,263789,263823,Train,0
4,1305,2357,HFL,HFL,264928,264983,Train,0
4,1313,2372,HFL,HFL,266316,266346,Train,0
4,1327,2396,HFL,HFL,271131,271163,Train,0
4,1329,2400,HFL,HFL,271198,271236,Train,0
4,1331,2404,HFL,HFL,271272,271310,Train,0
4,1337,2415,HFL,HFL,271895,271929,Train,0
4,1359,2454,HFL,HFL,276009,276047,Train,0
4,1378,2488,HFL,HFL,279997,280019,Train,0
4,1380,2491,HFL,HFL,280859,280879,Train,0
4,1386,2503,HFL,HFL,281029,281065,Train,0
4,1390,2511,HFL,HFL,281179,281211,Train,0
4,1394,2518,HFL,HFL,282398,282439,Train,0
4,1402,2533,HFL,HFL,285437,285468,Train,0
4,1404,2537,HFL,HFL,285497,285530,Train,0
4,1406,2541,HFL,HFL,285561,285590,Train,0
4,1442,2604,HFL,HFL,294595,294631,Train,0
4,1449,2616,HFL,HFL,297524,297553,Train,0
4,1459,2635,HFL,HFL,298669,298701,Train,0
4,1469,2654,HFL,HFL,299662,299695,Train,0
4,1473,2662,HFL,HFL,299809,299841,Train,0
4,1475,2666,HFL,HFL,299875,299915,Train,0
4,1482,2677,HFL,HFL,303552,303569,Train,0
4,1502,2713,HFL,HFL,306967,306992,Train,0
4,1524,2749,HFL,HFL,313432,313467,Val,0
4,1526,2753,HFL,HFL,313496,313521,Val,0
4,1529,2758,HFL,HFL,314191,314247,Val,0
4,1535,2770,HFL,HFL,314399,314429,Val,0
4,1546,2789,HFL,HFL,319067,319108,Val,0
4,1548,2793,HFL,HFL,319159,319241,Val,0
4,1553,2801,HFL,HFL,320315,320346,Val,0
4,1565,2820,HFL,HFL,324640,324662,Val,0
4,1578,2844,HFL,HFL,326645,326677,Val,0
4,1587,2859,HFL,HFL,328506,328534,Val,0
4,1589,2863,HFL,HFL,328565,328589,Val,0
4,1591,2867,HFL,HFL,328624,328653,Val,0
4,1593,2870,HFL,HFL,335006,335023,Test,0
4,1601,2886,HFL,HFL,335240,335271,Test,0
4,1608,2897,HFL,HFL,337044,337063,Test,0
4,1610,2901,HFL,HFL,337091,337123,Test,0
4,1619,2918,HFL,HFL,339093,339122,Test,0
4,1642,2958,HFL,HFL,345020,345046,Test,0
4,1644,2962,HFL,HFL,345092,345130,Test,0
4,1647,2967,HFL,HFL,345782,345818,Test,0
4,1655,2981,HFL,HFL,347433,347454,Test,0
4,1658,2986,HFL,HFL,348639,348664,Test,0
4,1660,2990,HFL,HFL,348692,348729,Test,0
4,1665,2999,HFL,HFL,349874,349909,Test,0
4,1667,3003,HFL,HFL,349946,349974,Test,0
4,1673,3014,HFL,HFL,351343,351379,Test,0
4,1686,3038,HFL,HFL,353639,353672,Test,0
4,1698,3058,HFL,HFL,358655,358677,Test,0
4,1700,3061,HFL,HFL,358869,358881,Test,0
4,1706,3072,HFL,HFL,359750,359769,Test,0
4,1714,3086,HFL,HFL,361539,361568,Test,0
4,1718,3093,HFL,HFL,362416,362438,Test,0
4,1730,3113,HFL,HFL,364545,364583,Test,0
4,1737,3125,HFL,HFL,366606,366635,Test,0
4,1741,3133,HFL,HFL,366720,366758,Test,0
4,1747,3144,HFL,HFL,368343,368392,Test,0
4,1760,3169,HFL,HFL,370552,370588,Test,0
4,1764,3176,HFL,HFL,371488,371534,Test,0
4,1766,3180,HFL,HFL,371567,371607,Test,0
4,1776,3198,HFL,HFL,373053,373082,Test,0
4,1784,3213,HFL,HFL,376086,376119,Test,0
4,1797,3234,HFL,HFL,379363,379385,Test,0
4,1811,3259,HFL,HFL,381437,381455,Test,0
4,1817,3270,HFL,HFL,382206,382231,Test,0
4,1821,3278,HFL,HFL,382337,382361,Test,0
4,1827,3289,HFL,HFL,385719,385761,Test,0
4,1829,3293,HFL,HFL,385795,385836,Test,0
4,1833,3301,HFL,HFL,385935,385965,Test,0
4,1836,3306,HFL,HFL,386536,386556,Test,0
4,1844,3321,HFL,HFL,387463,387498,Test,0
4,1846,3325,HFL,HFL,387530,387558,Test,0
4,1852,3335,HFL,HFL,389525,389550,Test,0
4,1854,3339,HFL,HFL,389589,389616,Test,0
4,1859,3348,HFL,HFL,390499,390529,Test,0
4,1865,3359,HFL,HFL,391608,391631,Test,0
4,1867,3363,HFL,HFL,391665,391699,Test,0
4,1877,3381,HFL,HFL,393980,394004,Test,0
4,1881,3389,HFL,HFL,394100,394129,Test,0
4,1883,3393,HFL,HFL,394160,394185,Test,0
4,1885,3397,HFL,HFL,394220,394252,Test,0
4,1891,3408,HFL,HFL,397145,397184,Test,0
4,1893,3412,HFL,HFL,397213,397239,Test,0
4,1895,3416,HFL,HFL,397274,397294,Test,0
4,1910,3442,HFL,HFL,399793,399816,Test,0
4,1915,3451,HFL,HFL,400728,400758,Test,0
4,1921,3463,HFL,HFL,400921,400944,Test,0
4,1928,3476,HFL,HFL,402163,402189,Test,0
4,1930,3480,HFL,HFL,402228,402275,Test,0
4,1934,3487,HFL,HFL,403167,403193,Test,0
5,4,7,HFL,HFL,13960,13984,Train,0
5,9,15,HFL,HFL,16336,16358,Train,0
5,15,27,HFL,HFL,16550,16581,Train,0
5,21,38,HFL,HFL,17747,17764,Train,0
5,44,80,HFL,HFL,21483,21518,Train,0
5,49,88,HFL,HFL,22702,22732,Train,0
5,65,114,HFL,HFL,28149,28176,Train,0
5,67,118,HFL,HFL,28209,28244,Train,0
5,71,125,HFL,HFL,28891,28939,Train,0
