match,rally,stroke,stroke_type,merged_type,class_id
2,14,27,Bottom-Block,Bottom-Block,0
2,14,33,Bottom-Block,Bottom-Block,0
2,17,13,Bottom-Block,Bottom-Block,0
2,19,5,Bottom-Block,Bottom-Block,0
2,19,9,Bottom-Block,Bottom-Block,0
2,22,6,Bottom-Block,Bottom-Block,0
2,22,8,Bottom-Block,Bottom-Block,0
2,23,4,Bottom-Block,Bottom-Block,0
2,23,6,Bottom-Block,Bottom-Block,0
2,26,7,Bottom-Block,Bottom-Block,0
2,27,4,Bottom-Block,Bottom-Block,0
2,28,6,Bottom-Block,Bottom-Block,0
2,28,12,Bottom-Block,Bottom-Block,0
2,28,18,Bottom-Block,Bottom-Block,0
2,31,4,Bottom-Block,Bottom-Block,0
2,31,8,Bottom-Block,Bottom-Block,0
2,33,6,Bottom-Block,Bottom-Block,0
2,33,8,Bottom-Block,Bottom-Block,0
2,33,10,Bottom-Block,Bottom-Block,0
2,34,4,Bottom-Block,Bottom-Block,0
2,34,8,Bottom-Block,Bottom-Block,0
2,34,18,Bottom-Block,Bottom-Block,0
2,36,5,Bottom-Block,Bottom-Block,0
2,37,5,Bottom-Block,Bottom-Block,0
2,37,15,Bottom-Block,Bottom-Block,0
2,37,19,Bottom-Block,Bottom-Block,0
2,39,7,Bottom-Block,Bottom-Block,0
2,39,15,Bottom-Block,Bottom-Block,0
2,40,3,Bottom-Block,Bottom-Block,0
2,40,5,Bottom-Block,Bottom-Block,0
2,43,9,Bottom-Block,Bottom-Block,0
2,43,11,Bottom-Block,Bottom-Block,0
2,43,13,Bottom-Block,Bottom-Block,0
2,43,15,Bottom-Block,Bottom-Block,0
2,43,17,Bottom-Block,Bottom-Block,0
2,43,19,Bottom-Block,Bottom-Block,0
2,44,25,Bottom-Block,Bottom-Block,0
2,48,7,Bottom-Block,Bottom-Block,0
2,49,8,Bottom-Block,Bottom-Block,0
2,49,16,Bottom-Block,Bottom-Block,0
2,49,20,Bottom-Block,Bottom-Block,0
2,57,5,Bottom-Block,Bottom-Block,0
2,57,17,Bottom-Block,Bottom-Block,0
2,57,19,Bottom-Block,Bottom-Block,0
2,57,27,Bottom-Block,Bottom-Block,0
2,57,33,Bottom-Block,Bottom-Block,0
2,58,6,Bottom-Block,Bottom-Block,0
2,58,16,Bottom-Block,Bottom-Block,0
2,59,5,Bottom-Block,Bottom-Block,0
2,59,9,Bottom-Block,Bottom-Block,0
2,63,5,Bottom-Block,Bottom-Block,0
2,63,7,Bottom-Block,Bottom-Block,0
2,63,11,Bottom-Block,Bottom-Block,0
2,64,5,Bottom-Block,Bottom-Block,0
2,64,9,Bottom-Block,Bottom-Block,0
2,64,25,Bottom-Block,Bottom-Block,0
2,67,12,Bottom-Block,Bottom-Block,0
2,68,4,Bottom-Block,Bottom-Block,0
2,68,8,Bottom-Block,Bottom-Block,0
2,69,9,Bottom-Block,Bottom-Block,0
2,69,11,Bottom-Block,Bottom-Block,0
2,70,5,Bottom-Block,Bottom-Block,0
2,70,7,Bottom-Block,Bottom-Block,0
2,72,4,Bottom-Block,Bottom-Block,0
2,74,8,Bottom-Block,Bottom-Block,0
2,75,4,Bottom-Block,Bottom-Block,0
2,76,6,Bottom-Block,Bottom-Block,0
2,76,16,Bottom-Block,Bottom-Block,0
2,77,4,Bottom-Block,Bottom-Block,0
2,77,16,Bottom-Block,Bottom-Block,0
2,79,6,Bottom-Block,Bottom-Block,0
2,81,5,Bottom-Block,Bottom-Block,0
2,82,12,Bottom-Block,Bottom-Block,0
2,82,14,Bottom-Block,Bottom-Block,0
2,83,5,Bottom-Block,Bottom-Block,0
2,83,9,Bottom-Block,Bottom-Block,0
2,83,11,Bottom-Block,Bottom-Block,0
2,83,13,Bottom-Block,Bottom-Block,0
2,83,19,Bottom-Block,Bottom-Block,0
2,84,8,Bottom-Block,Bottom-Block,0
3,1,9,Bottom-Block,Bottom-Block,0
3,1,21,Bottom-Block,Bottom-Block,0
3,2,5,Bottom-Block,Bottom-Block,0
3,3,6,Bottom-Block,Bottom-Block,0
3,3,8,Bottom-Block,Bottom-Block,0
3,4,11,Bottom-Block,Bottom-Block,0
3,8,6,Bottom-Block,Bottom-Block,0
3,9,5,Bottom-Block,Bottom-Block,0
3,9,11,Bottom-Block,Bottom-Block,0
3,10,9,Bottom-Block,Bottom-Block,0
3,10,13,Bottom-Block,Bottom-Block,0
3,11,3,Bottom-Block,Bottom-Block,0
3,13,7,Bottom-Block,Bottom-Block,0
3,17,5,Bottom-Block,Bottom-Block,0
3,18,5,Bottom-Block,Bottom-Block,0
3,19,6,Bottom-Block,Bottom-Block,0
3,19,14,Bottom-Block,Bottom-Block,0
3,21,5,Bottom-Block,Bottom-Block,0
3,21,17,Bottom-Block,Bottom-Block,0
3,27,6,Bottom-Block,Bottom-Block,0
3,28,8,Bottom-Block,Bottom-Block,0
3,29,8,Bottom-Block,Bottom-Block,0
3,29,12,Bottom-Block,Bottom-Block,0
3,30,8,Bottom-Block,Bottom-Block,0
3,30,10,Bottom-Block,Bottom-Block,0
3,30,16,Bottom-Block,Bottom-Block,0
3,31,4,Bottom-Block,Bottom-Block,0
3,31,10,Bottom-Block,Bottom-Block,0
3,35,4,Bottom-Block,Bottom-Block,0
3,37,15,Bottom-Block,Bottom-Block,0
3,41,3,Bottom-Block,Bottom-Block,0
3,42,4,Bottom-Block,Bottom-Block,0
3,42,18,Bottom-Block,Bottom-Block,0
3,42,24,Bottom-Block,Bottom-Block,0
3,45,5,Bottom-Block,Bottom-Block,0
3,45,9,Bottom-Block,Bottom-Block,0
3,45,25,Bottom-Block,Bottom-Block,0
3,46,4,Bottom-Block,Bottom-Block,0
3,50,7,Bottom-Block,Bottom-Block,0
3,51,3,Bottom-Block,Bottom-Block,0
3,51,5,Bottom-Block,Bottom-Block,0
3,51,7,Bottom-Block,Bottom-Block,0
3,53,5,Bottom-Block,Bottom-Block,0
3,55,14,Bottom-Block,Bottom-Block,0
3,58,12,Bottom-Block,Bottom-Block,0
3,59,4,Bottom-Block,Bottom-Block,0
3,61,6,Bottom-Block,Bottom-Block,0
5,1,4,Bottom-Block,Bottom-Block,0
5,2,12,Bottom-Block,Bottom-Block,0
5,3,6,Bottom-Block,Bottom-Block,0
5,3,16,Bottom-Block,Bottom-Block,0
5,5,6,Bottom-Block,Bottom-Block,0
5,5,12,Bottom-Block,Bottom-Block,0
5,5,22,Bottom-Block,Bottom-Block,0
5,9,7,Bottom-Block,Bottom-Block,0
5,12,13,Bottom-Block,Bottom-Block,0
5,12,15,Bottom-Block,Bottom-Block,0
5,15,4,Bottom-Block,Bottom-Block,0
5,15,8,Bottom-Block,Bottom-Block,0
5,15,12,Bottom-Block,Bottom-Block,0
5,15,20,Bottom-Block,Bottom-Block,0
5,21,20,Bottom-Block,Bottom-Block,0
5,23,5,Bottom-Block,Bottom-Block,0
5,23,19,Bottom-Block,Bottom-Block,0
5,24,4,Bottom-Block,Bottom-Block,0
5,25,4,Bottom-Block,Bottom-Block,0
5,25,8,Bottom-Block,Bottom-Block,0
5,27,10,Bottom-Block,Bottom-Block,0
5,27,16,Bottom-Block,Bottom-Block,0
5,32,7,Bottom-Block,Bottom-Block,0
5,33,3,Bottom-Block,Bottom-Block,0
5,33,7,Bottom-Block,Bottom-Block,0
5,36,4,Bottom-Block,Bottom-Block,0
5,36,14,Bottom-Block,Bottom-Block,0
5,36,20,Bottom-Block,Bottom-Block,0
5,36,24,Bottom-Block,Bottom-Block,0
5,38,12,Bottom-Block,Bottom-Block,0
5,41,8,Bottom-Block,Bottom-Block,0
5,41,10,Bottom-Block,Bottom-Block,0
5,41,20,Bottom-Block,Bottom-Block,0
5,42,5,Bottom-Block,Bottom-Block,0
5,46,6,Bottom-Block,Bottom-Block,0
5,46,8,Bottom-Block,Bottom-Block,0
5,49,8,Bottom-Block,Bottom-Block,0
5,50,7,Bottom-Block,Bottom-Block,0
5,50,11,Bottom-Block,Bottom-Block,0
5,50,25,Bottom-Block,Bottom-Block,0
5,53,5,Bottom-Block,Bottom-Block,0
5,61,4,Bottom-Block,Bottom-Block,0
5,61,18,Bottom-Block,Bottom-Block,0
5,62,7,Bottom-Block,Bottom-Block,0
5,64,6,Bottom-Block,Bottom-Block,0
5,65,13,Bottom-Block,Bottom-Block,0
5,65,15,Bottom-Block,Bottom-Block,0
5,66,3,Bottom-Block,Bottom-Block,0
5,66,17,Bottom-Block,Bottom-Block,0
5,67,4,Bottom-Block,Bottom-Block,0
5,67,10,Bottom-Block,Bottom-Block,0
5,68,4,Bottom-Block,Bottom-Block,0
5,70,5,Bottom-Block,Bottom-Block,0
5,70,17,Bottom-Block,Bottom-Block,0
5,70,21,Bottom-Block,Bottom-Block,0
5,72,5,Bottom-Block,Bottom-Block,0
5,72,13,Bottom-Block,Bottom-Block,0
5,73,5,Bottom-Block,Bottom-Block,0
5,75,6,Bottom-Block,Bottom-Block,0
5,78,6,Bottom-Block,Bottom-Block,0
6,2,5,Bottom-Block,Bottom-Block,0
6,2,9,Bottom-Block,Bottom-Block,0
6,7,4,Bottom-Block,Bottom-Block,0
6,9,13,Bottom-Block,Bottom-Block,0
6,9,21,Bottom-Block,Bottom-Block,0
6,15,3,Bottom-Block,Bottom-Block,0
6,15,15,Bottom-Block,Bottom-Block,0
6,17,8,Bottom-Block,Bottom-Block,0
6,17,18,Bottom-Block,Bottom-Block,0
6,19,10,Bottom-Block,Bottom-Block,0
6,19,12,Bottom-Block,Bottom-Block,0
6,19,28,Bottom-Block,Bottom-Block,0
6,19,32,Bottom-Block,Bottom-Block,0
6,19,36,Bottom-Block,Bottom-Block,0
6,19,38,Bottom-Block,Bottom-Block,0
6,20,5,Bottom-Block,Bottom-Block,0
6,21,13,Bottom-Block,Bottom-Block,0
6,28,5,Bottom-Block,Bottom-Block,0
6,29,5,Bottom-Block,Bottom-Block,0
6,30,5,Bottom-Block,Bottom-Block,0
6,30,7,Bottom-Block,Bottom-Block,0
6,33,13,Bottom-Block,Bottom-Block,0
6,33,19,Bottom-Block,Bottom-Block,0
6,36,7,Bottom-Block,Bottom-Block,0
6,38,5,Bottom-Block,Bottom-Block,0
6,41,4,Bottom-Block,Bottom-Block,0
6,41,8,Bottom-Block,Bottom-Block,0
6,41,18,Bottom-Block,Bottom-Block,0
6,43,8,Bottom-Block,Bottom-Block,0
6,43,10,Bottom-Block,Bottom-Block,0
6,45,4,Bottom-Block,Bottom-Block,0
6,45,6,Bottom-Block,Bottom-Block,0
6,45,8,Bottom-Block,Bottom-Block,0
6,46,4,Bottom-Block,Bottom-Block,0
6,47,4,Bottom-Block,Bottom-Block,0
6,48,3,Bottom-Block,Bottom-Block,0
6,48,7,Bottom-Block,Bottom-Block,0
6,48,15,Bottom-Block,Bottom-Block,0
6,48,21,Bottom-Block,Bottom-Block,0
6,49,6,Bottom-Block,Bottom-Block,0
6,50,8,Bottom-Block,Bottom-Block,0
6,51,9,Bottom-Block,Bottom-Block,0
6,52,11,Bottom-Block,Bottom-Block,0
6,53,5,Bottom-Block,Bottom-Block,0
6,53,9,Bottom-Block,Bottom-Block,0
6,54,5,Bottom-Block,Bottom-Block,0
6,55,4,Bottom-Block,Bottom-Block,0
6,55,10,Bottom-Block,Bottom-Block,0
6,56,6,Bottom-Block,Bottom-Block,0
6,56,8,Bottom-Block,Bottom-Block,0
6,56,14,Bottom-Block,Bottom-Block,0
6,58,4,Bottom-Block,Bottom-Block,0
6,58,8,Bottom-Block,Bottom-Block,0
6,58,18,Bottom-Block,Bottom-Block,0
6,58,30,Bottom-Block,Bottom-Block,0
6,59,4,Bottom-Block,Bottom-Block,0
6,59,6,Bottom-Block,Bottom-Block,0
6,62,5,Bottom-Block,Bottom-Block,0
6,63,4,Bottom-Block,Bottom-Block,0
6,65,11,Bottom-Block,Bottom-Block,0
6,66,3,Bottom-Block,Bottom-Block,0
6,67,5,Bottom-Block,Bottom-Block,0
6,69,6,Bottom-Block,Bottom-Block,0
6,69,10,Bottom-Block,Bottom-Block,0
6,70,5,Bottom-Block,Bottom-Block,0
6,70,7,Bottom-Block,Bottom-Block,0
6,71,10,Bottom-Block,Bottom-Block,0
6,71,18,Bottom-Block,Bottom-Block,0
6,71,20,Bottom-Block,Bottom-Block,0
6,71,26,Bottom-Block,Bottom-Block,0
6,71,32,Bottom-Block,Bottom-Block,0
6,72,5,Bottom-Block,Bottom-Block,0
6,72,7,Bottom-Block,Bottom-Block,0
6,72,9,Bottom-Block,Bottom-Block,0
6,73,6,Bottom-Block,Bottom-Block,0
6,74,9,Bottom-Block,Bottom-Block,0
6,75,4,Bottom-Block,Bottom-Block,0
6,75,6,Bottom-Block,Bottom-Block,0
6,75,8,Bottom-Block,Bottom-Block,0
6,75,10,Bottom-Block,Bottom-Block,0
6,77,4,Bottom-Block,Bottom-Block,0
6,77,28,Bottom-Block,Bottom-Block,0
6,78,5,Bottom-Block,Bottom-Block,0
6,80,7,Bottom-Block,Bottom-Block,0
6,80,9,Bottom-Block,Bottom-Block,0
6,83,6,Bottom-Block,Bottom-Block,0
6,84,12,Bottom-Block,Bottom-Block,0
6,91,6,Bottom-Block,Bottom-Block,0
6,92,4,Bottom-Block,Bottom-Block,0
6,93,9,Bottom-Block,Bottom-Block,0
6,93,13,Bottom-Block,Bottom-Block,0
6,94,3,Bottom-Block,Bottom-Block,0
6,94,5,Bottom-Block,Bottom-Block,0
6,95,8,Bottom-Block,Bottom-Block,0
6,98,4,Bottom-Block,Bottom-Block,0
6,98,14,Bottom-Block,Bottom-Block,0
6,98,16,Bottom-Block,Bottom-Block,0
6,98,18,Bottom-Block,Bottom-Block,0
6,98,20,Bottom-Block,Bottom-Block,0
6,99,11,Bottom-Block,Bottom-Block,0
6,100,5,Bottom-Block,Bottom-Block,0
6,101,4,Bottom-Block,Bottom-Block,0
6,102,14,Bottom-Block,Bottom-Block,0
6,103,4,Bottom-Block,Bottom-Block,0
6,105,9,Bottom-Block,Bottom-Block,0
6,105,13,Bottom-Block,Bottom-Block,0
6,105,15,Bottom-Block,Bottom-Block,0
6,105,19,Bottom-Block,Bottom-Block,0
6,106,5,Bottom-Block,Bottom-Block,0
6,106,15,Bottom-Block,Bottom-Block,0
6,106,23,Bottom-Block,Bottom-Block,0
6,107,5,Bottom-Block,Bottom-Block,0
6,108,4,Bottom-Block,Bottom-Block,0
6,108,6,Bottom-Block,Bottom-Block,0
6,108,10,Bottom-Block,Bottom-Block,0
6,108,22,Bottom-Block,Bottom-Block,0
6,111,18,Bottom-Block,Bottom-Block,0
6,112,18,Bottom-Block,Bottom-Block,0
6,112,28,Bottom-Block,Bottom-Block,0
7,1,4,Bottom-Block,Bottom-Block,0
7,1,12,Bottom-Block,Bottom-Block,0
7,4,12,Bottom-Block,Bottom-Block,0
7,4,22,Bottom-Block,Bottom-Block,0
7,4,26,Bottom-Block,Bottom-Block,0
7,5,5,Bottom-Block,Bottom-Block,0
7,8,5,Bottom-Block,Bottom-Block,0
7,9,4,Bottom-Block,Bottom-Block,0
7,10,13,Bottom-Block,Bottom-Block,0
7,10,23,Bottom-Block,Bottom-Block,0
7,11,5,Bottom-Block,Bottom-Block,0
7,11,17,Bottom-Block,Bottom-Block,0
7,12,15,Bottom-Block,Bottom-Block,0
7,13,8,Bottom-Block,Bottom-Block,0
7,13,10,Bottom-Block,Bottom-Block,0
7,15,10,Bottom-Block,Bottom-Block,0
7,15,16,Bottom-Block,Bottom-Block,0
7,15,18,Bottom-Block,Bottom-Block,0
7,15,24,Bottom-Block,Bottom-Block,0
7,15,38,Bottom-Block,Bottom-Block,0
7,16,11,Bottom-Block,Bottom-Block,0
7,17,9,Bottom-Block,Bottom-Block,0
7,17,13,Bottom-Block,Bottom-Block,0
7,19,4,Bottom-Block,Bottom-Block,0
7,21,8,Bottom-Block,Bottom-Block,0
7,21,16,Bottom-Block,Bottom-Block,0
7,21,22,Bottom-Block,Bottom-Block,0
7,22,11,Bottom-Block,Bottom-Block,0
7,23,4,Bottom-Block,Bottom-Block,0
7,23,8,Bottom-Block,Bottom-Block,0
7,23,10,Bottom-Block,Bottom-Block,0
7,23,12,Bottom-Block,Bottom-Block,0
7,25,7,Bottom-Block,Bottom-Block,0
7,26,4,Bottom-Block,Bottom-Block,0
7,30,4,Bottom-Block,Bottom-Block,0
7,30,12,Bottom-Block,Bottom-Block,0
7,30,14,Bottom-Block,Bottom-Block,0
7,30,18,Bottom-Block,Bottom-Block,0
7,32,7,Bottom-Block,Bottom-Block,0
7,33,4,Bottom-Block,Bottom-Block,0
7,34,12,Bottom-Block,Bottom-Block,0
7,34,22,Bottom-Block,Bottom-Block,0
7,35,3,Bottom-Block,Bottom-Block,0
7,35,11,Bottom-Block,Bottom-Block,0
7,35,13,Bottom-Block,Bottom-Block,0
7,36,3,Bottom-Block,Bottom-Block,0
7,36,7,Bottom-Block,Bottom-Block,0
7,36,9,Bottom-Block,Bottom-Block,0
7,37,3,Bottom-Block,Bottom-Block,0
7,37,11,Bottom-Block,Bottom-Block,0
7,37,17,Bottom-Block,Bottom-Block,0
7,38,6,Bottom-Block,Bottom-Block,0
7,38,10,Bottom-Block,Bottom-Block,0
7,40,4,Bottom-Block,Bottom-Block,0
7,41,12,Bottom-Block,Bottom-Block,0
7,41,16,Bottom-Block,Bottom-Block,0
7,44,7,Bottom-Block,Bottom-Block,0
7,46,3,Bottom-Block,Bottom-Block,0
7,50,4,Bottom-Block,Bottom-Block,0
7,50,14,Bottom-Block,Bottom-Block,0
7,52,8,Bottom-Block,Bottom-Block,0
7,52,30,Bottom-Block,Bottom-Block,0
7,54,3,Bottom-Block,Bottom-Block,0
7,54,5,Bottom-Block,Bottom-Block,0
7,55,7,Bottom-Block,Bottom-Block,0
7,58,5,Bottom-Block,Bottom-Block,0
7,59,5,Bottom-Block,Bottom-Block,0
7,59,7,Bottom-Block,Bottom-Block,0
7,60,6,Bottom-Block,Bottom-Block,0
7,62,8,Bottom-Block,Bottom-Block,0
7,63,5,Bottom-Block,Bottom-Block,0
7,64,4,Bottom-Block,Bottom-Block,0
7,67,10,Bottom-Block,Bottom-Block,0
7,70,5,Bottom-Block,Bottom-Block,0
7,70,9,Bottom-Block,Bottom-Block,0
7,71,5,Bottom-Block,Bottom-Block,0
7,71,9,Bottom-Block,Bottom-Block,0
7,71,13,Bottom-Block,Bottom-Block,0
7,72,9,Bottom-Block,Bottom-Block,0
7,72,15,Bottom-Block,Bottom-Block,0
7,74,5,Bottom-Block,Bottom-Block,0
7,76,8,Bottom-Block,Bottom-Block,0
7,76,10,Bottom-Block,Bottom-Block,0
7,76,14,Bottom-Block,Bottom-Block,0
7,76,16,Bottom-Block,Bottom-Block,0
7,77,6,Bottom-Block,Bottom-Block,0
7,78,9,Bottom-Block,Bottom-Block,0
7,81,8,Bottom-Block,Bottom-Block,0
7,83,5,Bottom-Block,Bottom-Block,0
7,83,19,Bottom-Block,Bottom-Block,0
7,83,25,Bottom-Block,Bottom-Block,0
7,88,6,Bottom-Block,Bottom-Block,0
7,91,4,Bottom-Block,Bottom-Block,0
7,91,8,Bottom-Block,Bottom-Block,0
7,92,3,Bottom-Block,Bottom-Block,0
7,93,5,Bottom-Block,Bottom-Block,0
7,93,11,Bottom-Block,Bottom-Block,0
7,94,3,Bottom-Block,Bottom-Block,0
7,96,15,Bottom-Block,Bottom-Block,0
7,96,17,Bottom-Block,Bottom-Block,0
7,97,6,Bottom-Block,Bottom-Block,0
7,98,5,Bottom-Block,Bottom-Block,0
7,99,5,Bottom-Block,Bottom-Block,0
7,102,12,Bottom-Block,Bottom-Block,0
7,102,16,Bottom-Block,Bottom-Block,0
7,104,5,Bottom-Block,Bottom-Block,0
7,104,9,Bottom-Block,Bottom-Block,0
7,105,8,Bottom-Block,Bottom-Block,0
7,107,7,Bottom-Block,Bottom-Block,0
7,107,9,Bottom-Block,Bottom-Block,0
7,108,10,Bottom-Block,Bottom-Block,0
7,109,4,Bottom-Block,Bottom-Block,0
7,109,6,Bottom-Block,Bottom-Block,0
7,109,16,Bottom-Block,Bottom-Block,0
7,110,5,Bottom-Block,Bottom-Block,0
7,111,5,Bottom-Block,Bottom-Block,0
7,112,12,Bottom-Block,Bottom-Block,0
7,113,15,Bottom-Block,Bottom-Block,0
7,113,19,Bottom-Block,Bottom-Block,0
7,113,23,Bottom-Block,Bottom-Block,0
7,116,4,Bottom-Block,Bottom-Block,0
7,116,10,Bottom-Block,Bottom-Block,0
7,117,12,Bottom-Block,Bottom-Block,0
7,117,14,Bottom-Block,Bottom-Block,0
7,117,26,Bottom-Block,Bottom-Block,0
7,117,30,Bottom-Block,Bottom-Block,0
8,1,16,Bottom-Block,Bottom-Block,0
8,3,5,Bottom-Block,Bottom-Block,0
8,4,4,Bottom-Block,Bottom-Block,0
8,4,12,Bottom-Block,Bottom-Block,0
8,4,14,Bottom-Block,Bottom-Block,0
8,5,9,Bottom-Block,Bottom-Block,0
8,6,9,Bottom-Block,Bottom-Block,0
8,7,5,Bottom-Block,Bottom-Block,0
8,9,3,Bottom-Block,Bottom-Block,0
8,13,19,Bottom-Block,Bottom-Block,0
8,13,21,Bottom-Block,Bottom-Block,0
8,15,5,Bottom-Block,Bottom-Block,0
8,15,11,Bottom-Block,Bottom-Block,0
8,15,13,Bottom-Block,Bottom-Block,0
8,17,5,Bottom-Block,Bottom-Block,0
8,18,17,Bottom-Block,Bottom-Block,0
8,23,11,Bottom-Block,Bottom-Block,0
8,25,6,Bottom-Block,Bottom-Block,0
8,26,4,Bottom-Block,Bottom-Block,0
8,29,11,Bottom-Block,Bottom-Block,0
8,29,15,Bottom-Block,Bottom-Block,0
8,32,4,Bottom-Block,Bottom-Block,0
8,32,16,Bottom-Block,Bottom-Block,0
8,33,10,Bottom-Block,Bottom-Block,0
8,36,8,Bottom-Block,Bottom-Block,0
8,36,18,Bottom-Block,Bottom-Block,0
8,37,3,Bottom-Block,Bottom-Block,0
8,38,4,Bottom-Block,Bottom-Block,0
8,39,6,Bottom-Block,Bottom-Block,0
8,39,14,Bottom-Block,Bottom-Block,0
8,39,20,Bottom-Block,Bottom-Block,0
8,40,7,Bottom-Block,Bottom-Block,0
8,43,5,Bottom-Block,Bottom-Block,0
8,43,19,Bottom-Block,Bottom-Block,0
8,47,5,Bottom-Block,Bottom-Block,0
8,47,13,Bottom-Block,Bottom-Block,0
8,47,15,Bottom-Block,Bottom-Block,0
8,48,3,Bottom-Block,Bottom-Block,0
8,48,5,Bottom-Block,Bottom-Block,0
8,48,7,Bottom-Block,Bottom-Block,0
8,48,9,Bottom-Block,Bottom-Block,0
8,50,6,Bottom-Block,Bottom-Block,0
8,50,10,Bottom-Block,Bottom-Block,0
8,53,6,Bottom-Block,Bottom-Block,0
8,53,12,Bottom-Block,Bottom-Block,0
8,53,18,Bottom-Block,Bottom-Block,0
8,57,7,Bottom-Block,Bottom-Block,0
8,58,9,Bottom-Block,Bottom-Block,0
8,58,19,Bottom-Block,Bottom-Block,0
8,59,5,Bottom-Block,Bottom-Block,0
8,59,15,Bottom-Block,Bottom-Block,0
8,61,7,Bottom-Block,Bottom-Block,0
8,63,3,Bottom-Block,Bottom-Block,0
8,65,6,Bottom-Block,Bottom-Block,0
8,65,12,Bottom-Block,Bottom-Block,0
8,68,5,Bottom-Block,Bottom-Block,0
8,70,10,Bottom-Block,Bottom-Block,0
8,71,9,Bottom-Block,Bottom-Block,0
9,2,15,Bottom-Block,Bottom-Block,0
9,2,25,Bottom-Block,Bottom-Block,0
9,10,5,Bottom-Block,Bottom-Block,0
9,10,9,Bottom-Block,Bottom-Block,0
9,10,13,Bottom-Block,Bottom-Block,0
9,13,3,Bottom-Block,Bottom-Block,0
9,14,8,Bottom-Block,Bottom-Block,0
9,15,12,Bottom-Block,Bottom-Block,0
9,20,4,Bottom-Block,Bottom-Block,0
9,25,4,Bottom-Block,Bottom-Block,0
9,25,8,Bottom-Block,Bottom-Block,0
9,26,7,Bottom-Block,Bottom-Block,0
9,30,12,Bottom-Block,Bottom-Block,0
9,31,7,Bottom-Block,Bottom-Block,0
9,32,15,Bottom-Block,Bottom-Block,0
9,32,25,Bottom-Block,Bottom-Block,0
9,32,31,Bottom-Block,Bottom-Block,0
9,35,5,Bottom-Block,Bottom-Block,0
9,36,10,Bottom-Block,Bottom-Block,0
9,37,14,Bottom-Block,Bottom-Block,0
9,42,4,Bottom-Block,Bottom-Block,0
9,44,8,Bottom-Block,Bottom-Block,0
9,47,10,Bottom-Block,Bottom-Block,0
9,49,4,Bottom-Block,Bottom-Block,0
9,54,13,Bottom-Block,Bottom-Block,0
9,54,19,Bottom-Block,Bottom-Block,0
9,56,5,Bottom-Block,Bottom-Block,0
9,58,7,Bottom-Block,Bottom-Block,0
